Step,AgentID,State,Stand,Type
29,A2,PARKED,C31,PLB
29,A3,PARKED,C32,PLB
29,A4,SCHEDULED,,
29,A5,SCHEDULED,,
29,A6,SCHEDULED,,
29,A7,SCHEDULED,,
29,A8,SCHEDULED,,
29,A9,SCHEDULED,,
29,A10,SCHEDULED,,
30,A1,PARKED,C30,PLB
30,A2,PARKED,C31,PLB
30,A3,PARKED,C32,PLB
30,A4,SCHEDULED,,
30,A5,SCHEDULED,,
30,A6,SCHEDULED,,
30,A7,SCHEDULED,,
30,A8,SCHEDULED,,
30,A9,SCHEDULED,,
30,A10,SCHEDULED,,
31,A1,PARKED,C30,PLB
31,A2,PARKED,C31,PLB
31,A3,PARKED,C32,PLB
31,A4,SCHEDULED,,
31,A5,SCHEDULED,,
31,A6,SCHEDULED,,
31,A7,SCHEDULED,,
31,A8,SCHEDULED,,
31,A9,SCHEDULED,,
31,A10,SCHEDULED,,
32,A1,PARKED,C30,PLB
32,A2,PARKED,C31,PLB
32,A3,PARKED,C32,PLB
32,A4,SCHEDULED,,
32,A5,SCHEDULED,,
32,A6,SCHEDULED,,
32,A7,SCHEDULED,,
32,A8,SCHEDULED,,
32,A9,SCHEDULED,,
32,A10,SCHEDULED,,
33,A1,PARKED,C30,PLB
33,A2,PARKED,C31,PLB
33,A3,PARKED,C32,PLB
33,A4,SCHEDULED,,
33,A5,SCHEDULED,,
33,A6,SCHEDULED,,
33,A7,SCHEDULED,,
33,A8,SCHEDULED,,
33,A9,SCHEDULED,,
33,A10,SCHEDULED,,
34,A1,PARKED,C30,PLB
34,A2,PARKED,C31,PLB
34,A3,PARKED,C32,PLB
34,A4,SCHEDULED,,
34,A5,SCHEDULED,,
34,A6,SCHEDULED,,
34,A7,SCHEDULED,,
34,A8,SCHEDULED,,
34,A9,SCHEDULED,,
34,A10,SCHEDULED,,
35,A1,PARKED,C30,PLB
35,A2,PARKED,C31,PLB
35,A3,PARKED,C32,PLB
35,A4,SCHEDULED,,
35,A5,SCHEDULED,,
35,A6,SCHEDULED,,
35,A7,SCHEDULED,,
35,A8,SCHEDULED,,
35,A9,SCHEDULED,,
35,A10,SCHEDULED,,
36,A1,PARKED,C30,PLB
36,A2,PARKED,C31,PLB
36,A3,PARKED,C32,PLB
36,A4,SCHEDULED,,
36,A5,SCHEDULED,,
36,A6,SCHEDULED,,
36,A7,SCHEDULED,,
36,A8,SCHEDULED,,
36,A9,SCHEDULED,,
36,A10,SCHEDULED,,
37,A1,PARKED,C30,PLB
37,A2,PARKED,C31,PLB
37,A3,PARKED,C32,PLB
37,A4,SCHEDULED,,
37,A5,SCHEDULED,,
37,A6,SCHEDULED,,
37,A7,SCHEDULED,,
37,A8,SCHEDULED,,
37,A9,SCHEDULED,,
37,A10,SCHEDULED,,
38,A1,PARKED,C30,PLB
38,A2,PARKED,C31,PLB
38,A3,PARKED,C32,PLB
38,A4,SCHEDULED,,
38,A5,SCHEDULED,,
38,A6,SCHEDULED,,
38,A7,SCHEDULED,,
38,A8,SCHEDULED,,
38,A9,SCHEDULED,,
38,A10,SCHEDULED,,
39,A1,PARKED,C30,PLB
39,A2,PARKED,C31,PLB
39,A3,PARKED,C32,PLB
39,A4,SCHEDULED,,
39,A5,SCHEDULED,,
39,A6,SCHEDULED,,
39,A7,SCHEDULED,,
39,A8,SCHEDULED,,
39,A9,SCHEDULED,,
39,A10,SCHEDULED,,
40,A1,PARKED,C30,PLB
40,A2,PARKED,C31,PLB
40,A3,PARKED,C32,PLB
40,A4,SCHEDULED,,
40,A5,SCHEDULED,,
40,A6,SCHEDULED,,
40,A7,SCHEDULED,,
40,A8,SCHEDULED,,
40,A9,SCHEDULED,,
40,A10,SCHEDULED,,
41,A1,PARKED,C30,PLB
41,A2,PARKED,C31,PLB
41,A3,PARKED,C32,PLB
41,A4,PARKED,C33,PLB
41,A5,SCHEDULED,,
41,A6,SCHEDULED,,
41,A7,SCHEDULED,,
41,A8,SCHEDULED,,
41,A9,SCHEDULED,,
41,A10,SCHEDULED,,
42,A1,PARKED,C30,PLB
42,A2,PARKED,C31,PLB
42,A3,PARKED,C32,PLB
42,A4,PARKED,C33,PLB
42,A5,SCHEDULED,,
42,A6,SCHEDULED,,
42,A7,SCHEDULED,,
42,A8,SCHEDULED,,
42,A9,SCHEDULED,,
42,A10,SCHEDULED,,
43,A1,PARKED,C30,PLB
43,A2,PARKED,C31,PLB
43,A3,PARKED,C32,PLB
43,A4,PARKED,C33,PLB
43,A5,SCHEDULED,,
43,A6,SCHEDULED,,
43,A7,SCHEDULED,,
43,A8,SCHEDULED,,
43,A9,SCHEDULED,,
43,A10,SCHEDULED,,
44,A1,PARKED,C30,PLB
44,A2,PARKED,C31,PLB
44,A3,PARKED,C32,PLB
44,A4,PARKED,C33,PLB
44,A5,SCHEDULED,,
44,A6,SCHEDULED,,
44,A7,SCHEDULED,,
44,A8,SCHEDULED,,
44,A9,SCHEDULED,,
44,A10,SCHEDULED,,
45,A1,PARKED,C30,PLB
45,A2,PARKED,C31,PLB
45,A3,PARKED,C32,PLB
45,A4,PARKED,C33,PLB
45,A5,SCHEDULED,,
45,A6,SCHEDULED,,
45,A7,SCHEDULED,,
45,A8,SCHEDULED,,
45,A9,SCHEDULED,,
45,A10,SCHEDULED,,
46,A1,DEPARTED,C30,PLB
46,A2,PARKED,C31,PLB
46,A3,PARKED,C32,PLB
46,A4,PARKED,C33,PLB
46,A5,SCHEDULED,,
46,A6,SCHEDULED,,
46,A7,SCHEDULED,,
46,A8,SCHEDULED,,
46,A9,SCHEDULED,,
46,A10,SCHEDULED,,
47,A1,DEPARTED,C30,PLB
47,A2,PARKED,C31,PLB
47,A3,PARKED,C32,PLB
47,A4,PARKED,C33,PLB
47,A5,SCHEDULED,,
47,A6,SCHEDULED,,
47,A7,SCHEDULED,,
47,A8,SCHEDULED,,
47,A9,SCHEDULED,,
47,A10,SCHEDULED,,
